match,ensemble_id,organism,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
2,0,worm,1000.0,219,1.0,0.5494791666666666,0.22847222222222222
2,0,worm,3000.0,42,1.0,0.12760416666666666,0.12958333333333333
2,0,worm,3000.0,137,1.0,0.1484375,0.1301388888888889
2,0,worm,3000.0,219,1.0,0.171875,0.13194444444444445
2,0,worm,350.0,42,0.7083333333333334,2.15625,0.6076388888888888
2,0,worm,350.0,137,0.8125,1.9114583333333333,0.5763888888888888
2,0,worm,350.0,219,0.7083333333333334,2.21875,0.6436111111111111
2,0,worm,500.0,42,0.9583333333333334,1.2838541666666667,0.4091666666666667
2,1,worm,1000.0,219,1.0,0.8385416666666666,0.28347222222222224
2,1,worm,3000.0,42,1.0,0.2916666666666667,0.1502777777777778
2,1,worm,3000.0,137,1.0,0.2942708333333333,0.14972222222222223
2,1,worm,3000.0,219,1.0,0.3125,0.15375
2,1,worm,30.0,137,0.0,15.455729166666666,4.759444444444444
2,1,worm,30.0,219,0.0,17.088541666666668,5.252777777777778
2,1,worm,100.0,42,0.0,9.3046875,2.711388888888889
2,1,worm,100.0,137,0.0,8.4765625,2.5208333333333335
2,0,worm,10.0,42,0.0,21.049479166666668,6.518194444444444
2,0,worm,10.0,137,0.0,19.932291666666668,6.264027777777778
2,0,worm,10.0,219,0.0,21.486979166666668,6.695277777777778
2,0,worm,30.0,42,0.0,16.552083333333332,5.062777777777778
2,0,worm,30.0,137,0.0,15.658854166666666,4.817083333333334
2,0,worm,30.0,219,0.0,17.552083333333332,5.374722222222222
2,0,worm,100.0,42,0.0,8.690104166666666,2.5323611111111113
2,0,worm,100.0,137,0.0,8.2109375,2.4184722222222224
2,1,worm,100.0,219,0.0,9.450520833333334,2.776666666666667
2,1,worm,200.0,42,0.08333333333333333,5.205729166666667,1.4704166666666667
2,1,worm,200.0,137,0.1875,4.830729166666667,1.3694444444444445
2,1,worm,200.0,219,0.14583333333333334,5.385416666666667,1.5138888888888888
2,1,worm,500.0,137,0.9166666666666666,1.5989583333333333,0.48180555555555554
2,1,worm,500.0,219,0.7708333333333334,1.734375,0.5156944444444445
2,1,worm,1000.0,42,0.9791666666666666,0.6953125,0.2604166666666667
2,1,worm,1000.0,137,0.9791666666666666,0.7578125,0.265
2,0,worm,500.0,137,0.9583333333333334,1.1510416666666667,0.3811111111111111
2,0,worm,500.0,219,0.8333333333333334,1.3776041666666667,0.42625
2,0,worm,1000.0,42,1.0,0.5052083333333334,0.22361111111111112
2,0,worm,1000.0,137,1.0,0.5572916666666666,0.21833333333333332
2,1,worm,10.0,42,0.0,20.744791666666668,6.430555555555555
2,1,worm,10.0,137,0.0,19.497395833333332,6.126527777777778
2,1,worm,10.0,219,0.0,21.088541666666668,6.589166666666666
2,1,worm,30.0,42,0.0,16.3828125,5.005972222222222
2,0,worm,100.0,219,0.0,9.013020833333334,2.6356944444444443
2,0,worm,200.0,42,0.20833333333333334,4.518229166666667,1.2515277777777778
2,0,worm,200.0,137,0.2708333333333333,4.302083333333333,1.209861111111111
2,0,worm,200.0,219,0.20833333333333334,4.7265625,1.3191666666666666
2,1,worm,350.0,42,0.5625,2.8307291666666665,0.7779166666666667
2,1,worm,350.0,137,0.6666666666666666,2.4635416666666665,0.71375
2,1,worm,350.0,219,0.5,3.0885416666666665,0.8484722222222222
2,1,worm,500.0,42,0.8333333333333334,1.6953125,0.4930555555555556
2,2,worm,10.0,42,0.0,20.013020833333332,6.173472222222222
2,2,worm,10.0,137,0.0,19.268229166666668,6.00875
2,2,worm,10.0,219,0.0,20.705729166666668,6.4118055555555555
2,2,worm,30.0,42,0.0,14.8359375,4.4927777777777775
2,2,worm,500.0,137,0.9166666666666666,1.734375,0.5256944444444445
2,2,worm,500.0,219,0.7291666666666666,1.9140625,0.5677777777777778
2,2,worm,1000.0,42,0.9583333333333334,1.171875,0.34958333333333336
2,2,worm,1000.0,137,0.9583333333333334,1.1015625,0.34
2,2,worm,350.0,42,0.5208333333333334,2.7526041666666665,0.7601388888888889
2,2,worm,350.0,137,0.6458333333333334,2.4635416666666665,0.7190277777777778
2,2,worm,350.0,219,0.5208333333333334,2.9765625,0.8233333333333334
2,2,worm,500.0,42,0.8333333333333334,1.8489583333333333,0.5343055555555556
2,3,worm,500.0,137,0.75,2.25,0.6447222222222222
2,3,worm,500.0,219,0.625,2.5078125,0.7058333333333333
2,3,worm,1000.0,42,0.9583333333333334,1.3020833333333333,0.37805555555555553
2,3,worm,1000.0,137,0.9583333333333334,1.3229166666666667,0.3918055555555556
2,3,worm,30.0,137,0.0,14.513020833333334,4.413055555555555
2,3,worm,30.0,219,0.0,15.854166666666666,4.8125
2,3,worm,100.0,42,0.0,8.4375,2.4245833333333335
2,3,worm,100.0,137,0.020833333333333332,7.9375,2.2865277777777777
2,2,worm,100.0,219,0.020833333333333332,7.7578125,2.235138888888889
2,2,worm,200.0,42,0.20833333333333334,4.635416666666667,1.2618055555555556
2,2,worm,200.0,137,0.3125,3.9583333333333335,1.136111111111111
2,2,worm,200.0,219,0.1875,4.734375,1.3151388888888889
2,2,worm,1000.0,219,0.9375,1.2109375,0.3665277777777778
2,2,worm,3000.0,42,0.9791666666666666,0.6041666666666666,0.20347222222222222
2,2,worm,3000.0,137,1.0,0.5286458333333334,0.19625
2,2,worm,3000.0,219,1.0,0.640625,0.21138888888888888
2,3,worm,10.0,42,0.0,20.171875,6.220138888888889
2,3,worm,10.0,137,0.0,19.46875,6.07
