match_level,ensemble_id,organism,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
2,0,worm,100.0,219,0.0,10.190104166666666,3.0416666666666665
2,0,worm,200.0,42,0.041666666666666664,6.169270833333333,1.7640277777777778
2,0,worm,200.0,137,0.125,5.859375,1.6820833333333334
2,0,worm,200.0,219,0.020833333333333332,6.3671875,1.8308333333333333
2,0,worm,1000.0,219,0.9375,1.2083333333333333,0.35736111111111113
2,0,worm,3000.0,42,1.0,0.4036458333333333,0.16708333333333333
2,0,worm,3000.0,137,1.0,0.4479166666666667,0.17333333333333334
2,0,worm,3000.0,219,1.0,0.5026041666666666,0.1802777777777778
2,0,worm,30.0,137,0.0,15.690104166666666,4.870138888888889
2,0,worm,30.0,219,0.0,17.395833333333332,5.372222222222222
2,0,worm,100.0,42,0.0,9.71875,2.8963888888888887
2,0,worm,100.0,137,0.0,9.580729166666666,2.8831944444444444
2,1,worm,500.0,137,0.22916666666666666,4.635416666666667,1.3680555555555556
2,1,worm,500.0,219,0.22916666666666666,5.205729166666667,1.5277777777777777
2,1,worm,1000.0,42,0.4375,3.59375,1.0277777777777777
2,1,worm,1000.0,137,0.4791666666666667,3.3229166666666665,0.9743055555555555
2,0,worm,10.0,42,0.0,21.015625,6.522222222222222
2,0,worm,10.0,137,0.0,19.614583333333332,6.1738888888888885
2,0,worm,10.0,219,0.0,21.091145833333332,6.6073611111111115
2,0,worm,30.0,42,0.0,16.635416666666668,5.115972222222222
2,0,worm,350.0,42,0.4166666666666667,3.6744791666666665,1.0054166666666666
2,0,worm,350.0,137,0.5,3.2786458333333335,0.9405555555555556
2,0,worm,350.0,219,0.4375,3.6979166666666665,1.0409722222222222
2,0,worm,500.0,42,0.7083333333333334,2.3776041666666665,0.6625
2,1,worm,1000.0,219,0.4166666666666667,3.6588541666666665,1.0722222222222222
2,1,worm,3000.0,42,0.6458333333333334,2.2838541666666665,0.6475
