gene_name,wormbase_id,uniprot_id,anesthesia_rationale,predicted_oligomer_state,structure_priority,AF_DB_url_if_exists,mammalian_homolog_PDB,pocket_compartment,mechanism_class,notes
UNC-49,WBGene00006765,Q17791,GABA-A homolog; primary inhibitory receptor; isoflurane potentiation expected,homopentamer or heteropentamer,high,https://alphafold.ebi.ac.uk/entry/Q17791,6X3X,membrane_embedded,gaba_potentiation,UNC-49B is the inhibitory subunit; sometimes co-assembles with UNC-49C
EXP-1,WBGene00001388,O44185,GABA-gated cation channel (excitatory GABA); exotic subtype,homopentamer,medium,https://alphafold.ebi.ac.uk/entry/O44185,6X3X,membrane_embedded,gaba_potentiation,Cation-conducting GABA receptor; may potentiate differently from UNC-49
AVR-14,WBGene00000242,O17127,GluCl alpha subunit; ivermectin / glutamate-gated chloride; mammalian homolog GlyR,homopentamer or heteropentamer,high,https://alphafold.ebi.ac.uk/entry/O17127,3RHW,membrane_embedded,glucl_potentiation,Hibbs 2011 PDB 3RHW is a GluCl from C. elegans; direct structural anchor
AVR-15,WBGene00000243,P34367,GluCl alpha subunit; pharyngeal pumping,homopentamer or heteropentamer,high,https://alphafold.ebi.ac.uk/entry/P34367,3RHW,membrane_embedded,glucl_potentiation,Co-expresses with AVR-14 in some neurons
GLC-1,WBGene00001623,O18219,GluCl alpha subunit; locomotion,homopentamer,medium,https://alphafold.ebi.ac.uk/entry/O18219,3RHW,membrane_embedded,glucl_potentiation,
GLC-2,WBGene00001624,Q17738,GluCl beta subunit,homopentamer or heteropentamer,medium,https://alphafold.ebi.ac.uk/entry/Q17738,3RHW,membrane_embedded,glucl_potentiation,
ACR-16,WBGene00000043,Q21306,nAChR alpha subunit; major NMJ receptor; halothane antagonism,homopentamer,high,https://alphafold.ebi.ac.uk/entry/Q21306,7QL5,membrane_embedded,nachr_antagonism,ACR-16 is the major homomeric nAChR at C. elegans NMJ
ACR-2,WBGene00000038,Q9XW79,nAChR alpha subunit; ventral cord motor neurons,heteropentamer with UNC-29/-38/-63/LEV-1,medium,https://alphafold.ebi.ac.uk/entry/Q9XW79,7QL5,membrane_embedded,nachr_antagonism,
UNC-29,WBGene00006754,P34418,nAChR non-alpha subunit; muscle nAChR levamisole-sensitive,heteropentamer with UNC-38/-63/LEV-1,high,https://alphafold.ebi.ac.uk/entry/P34418,7QL5,membrane_embedded,nachr_antagonism,Forms levamisole-sensitive receptor
UNC-38,WBGene00006759,P34903,nAChR alpha subunit; obligate alpha for levamisole receptor,heteropentamer,high,https://alphafold.ebi.ac.uk/entry/P34903,7QL5,membrane_embedded,nachr_antagonism,
UNC-63,WBGene00006788,Q17744,nAChR alpha subunit,heteropentamer,medium,https://alphafold.ebi.ac.uk/entry/Q17744,7QL5,membrane_embedded,nachr_antagonism,
LEV-1,WBGene00002308,P30811,nAChR non-alpha subunit; levamisole receptor,heteropentamer,medium,https://alphafold.ebi.ac.uk/entry/P30811,7QL5,membrane_embedded,nachr_antagonism,
TWK-18,WBGene00006626,P91173,K2P channel; gain-of-function cn110 confers halothane resistance (Sedensky 2001),homodimer,high,https://alphafold.ebi.ac.uk/entry/P91173,6CQ6,membrane_embedded,k2p_potentiation,Sedensky 2001 PMID 11756669; LOAD-BEARING anchor
TWK-7,WBGene00006616,Q9N4T8,K2P channel; locomotion,homodimer,medium,https://alphafold.ebi.ac.uk/entry/Q9N4T8,6CQ6,membrane_embedded,k2p_potentiation,
TWK-29,WBGene00006637,Q9N4S8,K2P channel; expression in pharynx and motor neurons,homodimer,medium,https://alphafold.ebi.ac.uk/entry/Q9N4S8,6CQ6,membrane_embedded,k2p_potentiation,
NCA-1,WBGene00003583,Q9N4D6,NALCN homolog; Na+ leak; central excitability driver,heterotetramer with UNC-79/UNC-80,high,https://alphafold.ebi.ac.uk/entry/Q9N4D6,7SX3,membrane_embedded,nca_block,Anchors with UNC-79/UNC-80 assembly
NCA-2,WBGene00003584,Q21413,Second NALCN homolog,heterotetramer with UNC-79/UNC-80,high,https://alphafold.ebi.ac.uk/entry/Q21413,7SX3,membrane_embedded,nca_block,
UNC-79,WBGene00006788,Q9XV28,NCA auxiliary subunit; e1068 confers halothane resistance (Sedensky 1992),auxiliary in NCA complex,high,https://alphafold.ebi.ac.uk/entry/Q9XV28,n/a,membrane_embedded,nca_block,Sedensky 1992 PMID 1346264; LOAD-BEARING anchor; large IDR regions expected
UNC-80,WBGene00006794,Q9N5E6,NCA auxiliary subunit; e1069 confers halothane resistance,auxiliary in NCA complex,high,https://alphafold.ebi.ac.uk/entry/Q9N5E6,n/a,membrane_embedded,nca_block,Large protein; IDR regions; AF confidence may be limited
NLF-1,WBGene00012009,O01567,NCA-localization factor,auxiliary,medium,https://alphafold.ebi.ac.uk/entry/O01567,n/a,membrane_embedded,nca_block,ER protein required for NCA localization
UNC-64,WBGene00006741,Q22298,Syntaxin-1A homolog; t-SNARE,monomer in 4-helix bundle with RIC-4/SNB-1,high,https://alphafold.ebi.ac.uk/entry/Q22298,1SFC,membrane_embedded,snare_cooperativity,
RIC-4,WBGene00004351,Q9XU05,SNAP-25 homolog,t-SNARE in bundle,high,https://alphafold.ebi.ac.uk/entry/Q9XU05,1SFC,membrane_interfacial,snare_cooperativity,
SNB-1,WBGene00004907,Q21989,Synaptobrevin-2 / VAMP homolog; v-SNARE,v-SNARE in bundle,high,https://alphafold.ebi.ac.uk/entry/Q21989,1SFC,membrane_embedded,snare_cooperativity,
UNC-13,WBGene00006750,P27715,Munc13 priming factor; s69 hypomorph causes severe release deficit,monomer; C2 domains,high,https://alphafold.ebi.ac.uk/entry/P27715,4XII,aqueous_intracellular,snare_cooperativity,Richmond 1999 PMID 10570485; van Swinderen 1999 hypersensitivity anchor
UNC-18,WBGene00006753,O17444,Munc18 SM protein; syntaxin-binding,monomer,medium,https://alphafold.ebi.ac.uk/entry/O17444,4JEU,aqueous_intracellular,snare_cooperativity,
